"Card Name","Card Description","Labels","Members","Due Date","Start Date","List Name","Checklist","Checklist item","Checklist item due","Checklist item member"
"TF-001: Create Job_Position__c Custom Object & Fields","Create the Job_Position__c custom object with all fields defined in the data model. This object represents both the internal job sheet (fiche de poste) and the published offer, and drives the entire recruitment pipeline.","Data Model (blue)","","","","Sprint 1 - Foundation","","","",""
"","","","","","","","Acceptance Criteria","Object created with correct API name and label (FR: Poste)","",""
"","","","","","","","Acceptance Criteria","All fields created with correct types, lengths, and picklist values","",""
"","","","","","","","Acceptance Criteria","Title__c and Status__c are required fields","",""
"","","","","","","","Acceptance Criteria","Default value of Status__c is ""Draft""","",""
"","","","","","","","Acceptance Criteria","Filled_Positions__c defaults to 0","",""
"","","","","","","","Acceptance Criteria","Object has a custom tab with appropriate icon","",""
"","","","","","","","Acceptance Criteria","Record types or page layouts distinguish Draft vs. Open states","",""
"TF-002: Create Candidate__c Custom Object & Fields","Create the Candidate__c custom object representing candidate profiles in the talent pool. Stores parsed CV data and links to a portal User record for self-service access.","Data Model (blue)","","","","Sprint 1 - Foundation","","","",""
"","","","","","","","Acceptance Criteria","Object created with correct API name and label (FR: Candidat)","",""
"","","","","","","","Acceptance Criteria","Email__c has a unique constraint","",""
"","","","","","","","Acceptance Criteria","Journey_Status__c defaults to ""Active""","",""
"","","","","","","","Acceptance Criteria","Name field auto-numbers (CAND-{0000})","",""
"","","","","","","","Acceptance Criteria","Object has a custom tab","",""
"TF-003: Create Job_Application__c Custom Object & Fields","Create the Job_Application__c junction object linking Candidate__c to Job_Position__c. Central object tracking the full lifecycle of a candidature from submission through final decision.","Data Model (blue)","","","","Sprint 1 - Foundation","","","",""
"","","","","","","","Acceptance Criteria","Object created with Master-Detail to Candidate__c","",""
"","","","","","","","Acceptance Criteria","Lookup to Job_Position__c (not Master-Detail, as spontaneous applications may have null)","",""
"","","","","","","","Acceptance Criteria","Stage__c defaults to ""New""","",""
"","","","","","","","Acceptance Criteria","Application_Date__c auto-populates on insert","",""
"","","","","","","","Acceptance Criteria","Unique compound constraint: one active application per Candidate per Job Position","",""
"","","","","","","","Acceptance Criteria","Name field auto-numbers (APP-{00000})","",""
"","","","","","","","Acceptance Criteria","All score fields default to 0","",""
"TF-004: Create Interview_Stage__c Custom Object & Fields","Create the Interview_Stage__c object representing a configurable step in the interview pipeline for a given job position. Each position can have 1–N stages with their own scoring rules and time windows.","Data Model (blue)","","","","Sprint 1 - Foundation","","","",""
"","","","","","","","Acceptance Criteria","Object created with Master-Detail to Job_Position__c","",""
"","","","","","","","Acceptance Criteria","Stage_Number__c is required and unique within the parent position","",""
"","","","","","","","Acceptance Criteria","Passing_Threshold__c must be <= Max_Score__c (validation rule)","",""
"","","","","","","","Acceptance Criteria","Sum of Stage_Weight__c across all stages + pertinence weight = 100% (documented, enforced in logic)","",""
"","","","","","","","Acceptance Criteria","Stages are ordered by Stage_Number__c","",""
"TF-005: Create Interview_Stage_Team_Member__c Junction Object","Create the junction object linking Interview_Stage__c to User (interviewers). Allows multiple interviewers per stage and an interviewer to be assigned to multiple stages/offers.","Data Model (blue)","","","","Sprint 1 - Foundation","","","",""
"","","","","","","","Acceptance Criteria","Object created with Master-Detail to Interview_Stage__c","",""
"","","","","","","","Acceptance Criteria","Unique constraint: one record per (Interview_Stage, Interviewer) pair","",""
"","","","","","","","Acceptance Criteria","At least one team member must be assigned before a stage can be activated (enforced in Apex)","",""
"TF-006: Create Availability_Slot__c Custom Object & Fields","Create the Availability_Slot__c object for interviewers to declare available time slots. Slots are scoped to a specific interview stage and consumed when a candidate books an interview.","Data Model (blue)","","","","Sprint 1 - Foundation","","","",""
"","","","","","","","Acceptance Criteria","End_DateTime__c must be after Start_DateTime__c (validation rule)","",""
"","","","","","","","Acceptance Criteria","Slots must fall within the stage's Start_Date__c – End_Date__c window (validation rule)","",""
"","","","","","","","Acceptance Criteria","No overlapping slots for the same interviewer (Apex trigger validation)","",""
"","","","","","","","Acceptance Criteria","Is_Booked__c defaults to false","",""
"TF-007: Create Interview__c Custom Object & Fields","Create the Interview__c object tracking individual interview sessions. Links a candidate's application to a stage, an interviewer, and a time slot; stores evaluation data.","Data Model (blue)","","","","Sprint 1 - Foundation","","","",""
"","","","","","","","Acceptance Criteria","Object created with all lookups properly configured","",""
"","","","","","","","Acceptance Criteria","Status__c defaults to ""Pending_Scheduling""","",""
"","","","","","","","Acceptance Criteria","Score__c must be <= parent stage's Max_Score__c (cross-object validation — Apex)","",""
"","","","","","","","Acceptance Criteria","Name field auto-numbers (INT-{00000})","",""
"","","","","","","","Acceptance Criteria","Candidate cannot have two interviews at the same DateTime (Apex validation)","",""
"TF-008: Configure Profiles, Permission Sets & Field-Level Security","Create three permission sets (HR Manager, Interviewer, Candidate) aligned with the actor roles. Implement field-level security to enforce strict separation between portal-visible and internal-only data.","Security (red)","","","","Sprint 1 - Foundation","","","",""
"","","","","","","","Acceptance Criteria","Three permission sets created and tested","",""
"","","","","","","","Acceptance Criteria","Candidate cannot see Department, Open_Positions, Max_Interview_Candidates, Interview_Stages_Count, Hiring_Manager on Job_Position__c","",""
"","","","","","","","Acceptance Criteria","Interviewer cannot see candidate Email and Phone","",""
"","","","","","","","Acceptance Criteria","Candidate cannot see AI_Score, Interview_Score, Final_Score, Selection_Status, Waiting_List_Position","",""
"","","","","","","","Acceptance Criteria","OWD (Org-Wide Defaults) set to Private for Job_Application__c and Interview__c","",""
"","","","","","","","Acceptance Criteria","Sharing rules created for HR Manager -> all Position's applications; Interviewer -> assigned interviews only","",""
"","","","","","","","Acceptance Criteria","FLS tested with each permission set assigned to a test user","",""
"TF-009: Create Job Position Management Apex Service","Build the JobPositionService Apex class handling core business logic for job position lifecycle: creation, validation, publishing, and closure.","Backend (green)","","","","Sprint 1 - Foundation","","","",""
"","","","","","","","Acceptance Criteria","Position cannot be published if missing: Title, Portal_Description, Application_Deadline, at least one Interview_Stage","",""
"","","","","","","","Acceptance Criteria","Publishing fails if stage weights + pertinence weight != 100%","",""
"","","","","","","","Acceptance Criteria","Publishing sets Status from Draft -> Open","",""
"","","","","","","","Acceptance Criteria","Closure archives all applications in non-terminal states","",""
"","","","","","","","Acceptance Criteria","All methods are bulkified","",""
"","","","","","","","Acceptance Criteria","Unit tests cover positive and negative scenarios (>= 90% coverage)","",""
"TF-010: Create Application Submission Apex Service","Build the ApplicationService Apex class for handling application submissions across all three sources: published offers, spontaneous applications, and internal search (HR-initiated).","Backend (green)","","","","Sprint 1 - Foundation","","","",""
"","","","","","","","Acceptance Criteria","Duplicate application throws a user-friendly error","",""
"","","","","","","","Acceptance Criteria","Application after deadline throws error for published offers","",""
"","","","","","","","Acceptance Criteria","Spontaneous applications have null Job_Position__c and Application_Type = ""Spontaneous""","",""
"","","","","","","","Acceptance Criteria","Internal Search applications are created with type ""Internal_Search""","",""
"","","","","","","","Acceptance Criteria","Confirmation email placeholder is invoked after successful submission","",""
"","","","","","","","Acceptance Criteria","Unit tests cover all three application types and error cases (>= 90% coverage)","",""
"TF-011: Implement Validation Rules & Triggers for Data Integrity","Create validation rules and before-insert/before-update triggers across all custom objects to enforce data integrity constraints that cannot be handled by declarative configuration alone.","Backend (green)","","","","Sprint 1 - Foundation","","","",""
"","","","","","","","Acceptance Criteria","All validation rules fire with clear error messages (French)","",""
"","","","","","","","Acceptance Criteria","Triggers are bulkified (handle 200+ records)","",""
"","","","","","","","Acceptance Criteria","Trigger logic extracted to handler classes (trigger -> handler pattern)","",""
"","","","","","","","Acceptance Criteria","All constraints pass unit test coverage >= 90%","",""
